,Brand,Model Name,Display Size,Operating System,Call Function,Bluetooth,Wi_Fi,GPS,Display_Type,Display_Resolution,Touchscreen,Water_Resistance,Battery_Life,Price
0,beatXP Marv Neo,Marv Neo 1.85'',46.0,Android & iOS,Yes,Yes,No,No,Other,260.0,Yes,,7.0,1299
1,"Boult Craft 1.83""","Craft 1.83"" HD",46.48,Android & iOS,Yes,Yes,No,No,IPS TFt,262.0,Yes,1.5,7.0,1099
2,beatXP Vega X,"Vega X 1.43""",36.32,Android & iOS,Yes,Yes,No,No,Super AMOLED,466.0,Yes,1.5,7.0,1999
3,beatXP Sigma 1.38'',Sigma 1.38'' HD,35.05,Android & iOS,Yes,Yes,No,No,Other,,Yes,,7.0,1199
4,KARBONN KX30  ,KX30,61.0,,No,No,No,No,IPS TFt,,No,,,1299
5,Fire-Boltt Cyclone 1.6'',Cyclone 1.6'' Round,40.64,Android & iOS,Yes,Yes,No,Yes,IPS TFt,400.0,Yes,1.0,9.0,2999
6,Melbon I8 Pro,I8 Pro Watch,40.0,Android & iOS,Yes,Yes,No,No,AMOLED,,Yes,0.5,3.0,699
7,beatXP Evoke Neo,Evoke Neo 1.43'',36.32,Android & iOS,Yes,Yes,No,No,Other,466.0,Yes,,7.0,1799
8,Boult Crown 1.95'',"Crown 1.95'' Screen,",49.53,Android & iOS,Yes,Yes,No,No,IPS TFt,261.0,Yes,,5.0,1499
9,Boult Crown 1.95'',"Crown 1.95'' Screen,",49.53,Android & iOS,Yes,Yes,No,No,IPS TFt,261.0,Yes,,5.0,1299
11,Zenx GEN 900,GEN 900 5G,49.0,Android & iOS,Yes,Yes,No,Yes,HD,352.0,Yes,15.0,3.0,656
12,Fire-Boltt Ninja Pro,Ninja Pro Max,46.482,Android & iOS,No,Yes,No,No,HD,262.0,Yes,0.001,8.0,1099
13,Noise Mettle 1.4'',"Mettle 1.4'' display,",35.56,Android & iOS,Yes,Yes,No,No,Other,240.0,Yes,,7.0,2199
14,Noise Colorfit Icon,Colorfit Icon 2,45.72,Android & iOS,Yes,Yes,No,No,Other,263.0,Yes,,7.0,1499
15,Noise Thrill with,"Thrill with 2""",50.8,Android & iOS,Yes,Yes,No,No,Other,268.0,Yes,1.5,15.0,2199
16,Fire-Boltt Dream WristPhone,Dream WristPhone -,51.308,Android & iOS,Yes,Yes,No,No,IPS,353.0,Yes,1.0,0.16666666666666666,7299
17,POCO M6 5G,M6 5G,171.20000000000002,,No,No,Yes,No,HD,,Yes,,,11499
18,Fire-Boltt Dream WristPhone,Dream WristPhone -,51.308,Android & iOS,Yes,Yes,No,No,IPS,353.0,Yes,1.0,0.16666666666666666,6999
19,Fire-Boltt Dream WristPhone,Dream WristPhone -,51.308,Android & iOS,Yes,Yes,No,No,IPS,353.0,Yes,1.0,0.16666666666666666,6999
20,HLMT Latest Kids,Latest Kids watch,34.0,Android,No,No,No,No,TFT LED,,No,50.0,0.25,257
21,boAt Storm Pro,Storm Pro Call,45.211999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,408.0,Yes,,7.0,1699
22,Boult Crown 1.95'',"Crown 1.95'' Screen,",49.53,Android & iOS,Yes,Yes,No,No,IPS TFt,261.0,Yes,,5.0,1299
23,Fire-Boltt Dream WristPhone,Dream WristPhone -,51.308,Android & iOS,Yes,Yes,No,No,IPS,353.0,Yes,1.0,0.16666666666666666,7499
24,Fire-Boltt Dream WristPhone,Dream WristPhone -,51.308,Android & iOS,Yes,Yes,No,No,IPS,353.0,Yes,1.0,0.16666666666666666,7499
25,POCO C51 -,C51,165.6,,No,No,Yes,No,HD,,Yes,,,5499
26,AMAZFIT T rex,T rex Pro,33.019999999999996,Android & iOS,No,Yes,No,Yes,AMOLED,360.0,Yes,100.0,18.0,11999
27,vivo T2 Pro,T2 Pro 5G,172.2,,No,No,Yes,No,AMOLED,,Yes,,,24999
